job_id,task_id,execution_time,machines_count
1,1,47,20
1,2,27,20
1,3,52,20
1,4,44,20
1,5,14,20
1,6,10,20
2,1,46,20
2,2,53,20
2,3,59,20
3,1,17,20
3,2,28,20
3,3,29,20
3,4,40,20
3,5,51,20
3,6,13,20
3,7,54,20
3,8,20,20
3,9,35,20
3,10,47,20
4,1,11,20
4,2,52,20
4,3,46,20
4,4,27,20
4,5,51,20
4,6,20,20
4,7,37,20
4,8,18,20
4,9,11,20
5,1,8,20
5,2,22,20
5,3,50,20
5,4,56,20
5,5,26,20
5,6,15,20
5,7,42,20
5,8,47,20
5,9,13,20
5,10,18,20
6,1,13,20
6,2,33,20
6,3,54,20
6,4,50,20
6,5,14,20
6,6,51,20
6,7,33,20
7,1,28,20
7,2,27,20
7,3,39,20
7,4,5,20
7,5,48,20
7,6,59,20
7,7,32,20
8,1,14,20
8,2,16,20
8,3,51,20
8,4,44,20
8,5,11,20
8,6,49,20
8,7,43,20
8,8,38,20
8,9,17,20
8,10,7,20
9,1,15,20
9,2,8,20
10,1,13,20
10,2,39,20
10,3,11,20
10,4,26,20
10,5,36,20
10,6,28,20
10,7,22,20
10,8,55,20
10,9,6,20
10,10,42,20
11,1,34,20
11,2,44,20
11,3,31,20
12,1,34,20
12,2,7,20
12,3,6,20
12,4,59,20
13,1,46,20
13,2,29,20
13,3,26,20
13,4,10,20
13,5,43,20
13,6,8,20
13,7,27,20
13,8,42,20
13,9,35,20
14,1,22,20
14,2,37,20
14,3,11,20
14,4,55,20
14,5,52,20
15,1,12,20
15,2,18,20
15,3,22,20
15,4,43,20
15,5,17,20
15,6,28,20
15,7,6,20
16,1,53,20
16,2,11,20
16,3,12,20
17,1,36,20
17,2,47,20
18,1,9,20
18,2,36,20
18,3,9,20
18,4,34,20
18,5,48,20
19,1,53,20
19,2,60,20
19,3,57,20
19,4,7,20
20,1,22,20
20,2,36,20
20,3,17,20
20,4,25,20
20,5,47,20
20,6,40,20
21,1,48,20
21,2,14,20
21,3,15,20
21,4,60,20
21,5,38,20
21,6,9,20
22,1,36,20
22,2,37,20
22,3,19,20
22,4,34,20
22,5,21,20
22,6,57,20
23,1,22,20
23,2,51,20
23,3,28,20
23,4,54,20
24,1,58,20
24,2,30,20
24,3,41,20
24,4,9,20
25,1,58,20
25,2,11,20
25,3,46,20
25,4,24,20
25,5,45,20
25,6,41,20
26,1,57,20
26,2,41,20
26,3,6,20
26,4,8,20
26,5,5,20
26,6,52,20
26,7,7,20
26,8,56,20
27,1,41,20
27,2,9,20
27,3,10,20
27,4,16,20
27,5,60,20
27,6,53,20
27,7,32,20
28,1,21,20
28,2,22,20
28,3,34,20
28,4,58,20
28,5,5,20
28,6,20,20
28,7,25,20
28,8,59,20
29,1,44,20
29,2,24,20
29,3,57,20
29,4,26,20
29,5,48,20
29,6,28,20
30,1,18,20
30,2,28,20
30,3,55,20
30,4,12,20
30,5,43,20
30,6,40,20
30,7,53,20
30,8,39,20
31,1,28,20
31,2,13,20
